Timestamp,What is your general opinion on the NSA?,How familiar are you with function of the NSA (United States National Security Agency)?,Where do you live?,How familiar are you with actions of Edward Snowden in relation to the NSA activities?,How would you judge your level of proficiency in using information technology?,Did the NSA revelations (information disseminated by Edward Snowden) change your opinion of the NSA?,Do you find NSA revelations concerning?,Did the NSA revelations increase your information security awareness?,,,
1.14.2015 14:58:31,Extremely negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:05:11,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 15:05:37,Decidedly negative,Very familiar,EU,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 15:09:52,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Greatly increased,,,
1.14.2015 15:21:23,Decidedly negative,Reasonably familiar,EU,Very familiar,Reasonably proficient,Did not influence,Decidedly concerning,Somewhat increased,,,
1.14.2015 15:25:32,Neutral,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Did not influence,Slightly concerning,Not at all,,,
1.14.2015 15:31:18,Slightly positive,Somewhat familiar,EU,Very familiar,Very proficient,Somewhat diminished,Slightly concerning,Not at all,,,
1.14.2015 15:35:28,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Slightly concerning,Somewhat increased,,,
1.14.2015 15:41:09,Somewhat positive,Reasonably familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat improved,Not concerning at all,Slightly increased,,,
1.14.2015 15:43:48,Slightly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.14.2015 15:44:59,Extremely negative,Somewhat familiar,EU,Somewhat familiar,Somewhat proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:46:10,Somewhat negative,Very familiar,USA,Reasonably familiar,Very proficient,Slightly diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:49:23,Extremely negative,Very familiar,USA,Very familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 15:53:30,Decidedly negative,Reasonably familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 16:07:16,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 16:10:12,Neutral,Somewhat familiar,USA,Reasonably familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 16:10:18,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 16:22:19,Neutral,Very familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Decidedly concerning,Not at all,,,
1.14.2015 16:27:03,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 16:30:39,Neutral,Somewhat familiar,EU,Very familiar,Very proficient,Did not influence,Not concerning at all,Somewhat increased,,,
1.14.2015 16:40:50,Decidedly positive,Very familiar,USA,Very familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 16:49:24,Somewhat positive,Somewhat familiar,USA,Somewhat familiar,Somewhat proficient,Slightly diminished,Not concerning at all,Not at all,,,
1.14.2015 16:53:41,Slightly negative,Somewhat familiar,USA,Slightly familiar,Very proficient,Slightly diminished,Somewhat concerning,Not at all,,,
1.14.2015 16:54:17,Extremely negative,Somewhat familiar,Other,Slightly familiar,Somewhat proficient,Somewhat diminished,Slightly concerning,Slightly increased,,,
1.14.2015 16:57:01,Decidedly positive,Somewhat familiar,USA,Not familiar at all,Very proficient,Did not influence,Not concerning at all,Decidedly increased,,,
1.14.2015 17:03:24,Extremely negative,Reasonably familiar,EU,Reasonably familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:04:02,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:05:24,Extremely negative,Somewhat familiar,Other,Reasonably familiar,Reasonably proficient,Did not influence,Decidedly concerning,Not at all,,,
1.14.2015 17:06:55,Neutral,Slightly familiar,EU,Not familiar at all,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 17:08:20,Slightly negative,Somewhat familiar,EU,Somewhat familiar,Reasonably proficient,Did not influence,Somewhat concerning,Slightly increased,,,
1.14.2015 17:08:31,Extremely negative,Very familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:12:30,Somewhat positive,Somewhat familiar,USA,Reasonably familiar,Not proficient at all,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 17:15:53,Decidedly negative,Slightly familiar,EU,Somewhat familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:16:47,Extremely negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:17:32,Somewhat negative,Slightly familiar,EU,Somewhat familiar,Reasonably proficient,Greatly diminished,Somewhat concerning,Not at all,,,
1.14.2015 17:20:56,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:25:29,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:26:33,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Not at all,,,
1.14.2015 17:28:00,Somewhat positive,Reasonably familiar,USA,Somewhat familiar,Very proficient,Did not influence,Slightly concerning,Somewhat increased,,,
1.14.2015 17:35:22,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 17:36:15,Somewhat negative,Reasonably familiar,EU,Reasonably familiar,Not proficient at all,Somewhat diminished,Very concerning,Slightly increased,,,
1.14.2015 17:41:21,Somewhat negative,Reasonably familiar,USA,Very familiar,Very proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.14.2015 17:50:54,Somewhat positive,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Not concerning at all,Slightly increased,,,
1.14.2015 17:54:57,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 17:56:01,Decidedly negative,Very familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Slightly concerning,Decidedly increased,,,
1.14.2015 17:56:33,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.14.2015 17:57:09,Extremely negative,Very familiar,EU,Very familiar,Very proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.14.2015 18:01:02,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Somewhat increased,,,
1.14.2015 18:07:01,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.14.2015 18:07:05,Slightly positive,Slightly familiar,EU,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Slightly increased,,,
